"condition","score","score_result"
"Migraine Prevention",-0.0967741935483871,"negative"
"Major Depressive Disorder",0.166666666666667,"positive"
"Diabetes, Type 2",0.131578947368421,"positive"
"Opiate Dependence",0,"neutral"
"Rheumatoid Arthritis",0.5,"positive"
"Acne",0.0204081632653061,"positive"
"Weight Loss",0.13953488372093,"positive"
"Ankylosing Spondylitis",0.0645161290322581,"positive"
"Anxiety And Stress",-0.0625,"negative"
"Trigeminal Neuralgia",0.0222222222222222,"positive"
"Birth Control",0.102040816326531,"positive"
"Depression",0.194444444444444,"positive"
"Birth Control",0.107142857142857,"positive"
"Birth Control",0,"neutral"
"Prostatitis",-0.0232558139534884,"negative"
"Copd, Maintenance",-0.0327868852459016,"negative"
"Acne",0.173913043478261,"positive"
"Chlamydia Infection",-0.0545454545454545,"negative"
"Vaginal Yeast Infection",-0.0294117647058824,"negative"
"Migraine Prevention",-0.0645161290322581,"negative"
"Bowel Preparation",-0.0317460317460317,"negative"
"Androgenetic Alopecia",0.142857142857143,"positive"
"Nausea/Vomiting",-0.0588235294117647,"negative"
"Ulcerative Colitis, Active",0.107142857142857,"positive"
"Adhd",0,"neutral"
"Irritable Bowel Syndrome",-0.0434782608695652,"negative"
"Migraine",0.177777777777778,"positive"
"Emergency Contraception",0.0294117647058824,"positive"
"Obesity",0.0175438596491228,"positive"
"Abnormal Uterine Bleeding",0.121951219512195,"positive"
"Birth Control",0.0158730158730159,"positive"
"High Blood Pressure",0.0151515151515152,"positive"
"Bladder Infection",-0.0483870967741935,"negative"
"Bipolar Disorder",0.0952380952380952,"positive"
"Birth Control",-0.0408163265306122,"negative"
"Anxiety",0,"neutral"
"Vaginal Yeast Infection",-0.125,"negative"
"Insomnia",0.0833333333333333,"positive"
"Acial Wrinkles",0.0263157894736842,"positive"
"Birth Control",0.14,"positive"
"Depression",0.217391304347826,"positive"
"Pain",0.12280701754386,"positive"
"Depression",0.0289855072463768,"positive"
"Depression",0.0701754385964912,"positive"
"Obesity",0.078125,"positive"
"Chronic Pain",-0.0196078431372549,"negative"
"Weight Loss",0.0307692307692308,"positive"
"Erectile Dysfunction",0.0434782608695652,"positive"
"Adhd",0.0625,"positive"
"Birth Control",-0.0384615384615385,"negative"
"Nausea/Vomiting",-0.0909090909090909,"negative"
"Birth Control",0,"neutral"
"Birth Control",0.104166666666667,"positive"
"Birth Control",0.0363636363636364,"positive"
"Acne",0.0833333333333333,"positive"
"Menstrual Disorders",-0.0147058823529412,"negative"
"Birth Control",0.0178571428571429,"positive"
"Obesity",-0.032258064516129,"negative"
"Nasal Congestion",-0.0625,"negative"
"Birth Control",-0.0434782608695652,"negative"
"Anxiety And Stress",1,"positive"
"Migraine",0.0677966101694915,"positive"
"Female Infertility",0.128205128205128,"positive"
"Bladder Infection",-0.148936170212766,"negative"
"Opiate Dependence",0.214285714285714,"positive"
"Birth Control",-0.0161290322580645,"negative"
"Constipation, Drug Induced",-0.0526315789473684,"negative"
"Smoking Cessation",0.166666666666667,"positive"
"Chronic Pain",0,"neutral"
"Vaginal Yeast Infection",-0.333333333333333,"negative"
"Birth Control",0,"neutral"
"Bowel Preparation",-0.0256410256410256,"negative"
"Obesity",0.0192307692307692,"positive"
"Birth Control",0.0952380952380952,"positive"
"Birth Control",-0.119047619047619,"negative"
"Adhd",-0.0144927536231884,"negative"
"Generalized Anxiety Disorder",-0.0727272727272727,"negative"
"Bipolar Disorder",0.0454545454545455,"positive"
"Pain",0,"neutral"
"Bacterial Vaginitis",-0.0675675675675676,"negative"
"Adhd",0.12962962962963,"positive"
"Insomnia",0.0740740740740741,"positive"
"Benign Essential Tremor",-0.0983606557377049,"negative"
"Emergency Contraception",0,"neutral"
"High Blood Pressure",0.0140845070422535,"positive"
"Anxiety",0.115384615384615,"positive"
"Insomnia",-0.363636363636364,"negative"
"Birth Control",0.032258064516129,"positive"
"Multiple Sclerosis",-0.22,"negative"
"Cough And Nasal Congestion",0.087719298245614,"positive"
"Acne",-0.133333333333333,"negative"
"Constipation, Chronic",-0.0735294117647059,"negative"
"Birth Control",0.0666666666666667,"positive"
"Bronchitis",0.0714285714285714,"positive"
"Weight Loss",0.0508474576271186,"positive"
"Insomnia",0.136363636363636,"positive"
"Depression",0.122448979591837,"positive"
"Pain",0.0526315789473684,"positive"
"Onychomycosis, Toenail",0.0769230769230769,"positive"
"Birth Control",0,"neutral"
"Erectile Dysfunction",0.5,"positive"
"Anxiety And Stress",-0.0540540540540541,"negative"
"Birth Control",0.133333333333333,"positive"
"Anxiety",0,"neutral"
"Seizures",0.0147058823529412,"positive"
"Birth Control",0.0634920634920635,"positive"
"Schizophrenia",0.2,"positive"
"Insomnia",0.0344827586206897,"positive"
"Birth Control",-0.0178571428571429,"negative"
"Acne",0.116279069767442,"positive"
"Headache",0.0810810810810811,"positive"
"Depression",0.181818181818182,"positive"
"Anxiety",0.166666666666667,"positive"
"Birth Control",0.131578947368421,"positive"
"Insomnia",0.111111111111111,"positive"
"Obesity",0.0652173913043478,"positive"
"Bowel Preparation",0.0740740740740741,"positive"
"Insomnia",0.217391304347826,"positive"
"Overactive Bladder",-0.0625,"negative"
"Adhd",0.078125,"positive"
"Birth Control",0.107692307692308,"positive"
"Birth Control",0.0689655172413793,"positive"
"Birth Control",-0.0909090909090909,"negative"
"NA",0.171428571428571,"positive"
"Constipation",0,"neutral"
"Birth Control",0,"neutral"
"Major Depressive Disorder",-0.0289855072463768,"negative"
"Emergency Contraception",-0.0508474576271186,"negative"
"Depression",0.0588235294117647,"positive"
"Primary Immunodeficiency Syndrome",0,"neutral"
"Birth Control",0.0517241379310345,"positive"
"Birth Control",0.0289855072463768,"positive"
"Migraine Prevention",-0.260869565217391,"negative"
"Irritable Bowel Syndrome",-0.0384615384615385,"negative"
"Tendonitis",-0.1875,"negative"
"Birth Control",0,"neutral"
"Seizures",-0.0169491525423729,"negative"
"Constipation, Drug Induced",0.0357142857142857,"positive"
"Bipolar Disorder",0.121212121212121,"positive"
"Gerd",-0.137931034482759,"negative"
"Chronic Pain",0,"neutral"
"Otitis Media",-0.181818181818182,"negative"
"Sinusitis",-0.333333333333333,"negative"
"Birth Control",-0.0204081632653061,"negative"
"Crohn's Disease, Maintenance",-0.0476190476190476,"negative"
"Atrial Fibrillation",0.19047619047619,"positive"
"Urinary Tract Infection",-0.133333333333333,"negative"
"Obesity",0.135593220338983,"positive"
"Panic Disorder",0.173913043478261,"positive"
"Vaginal Yeast Infection",-0.0166666666666667,"negative"
"Weight Loss",0.0579710144927536,"positive"
"Bacterial Infection",-0.032258064516129,"negative"
"Bipolar Disorder",0,"neutral"
"Bacterial Infection",-0.0298507462686567,"negative"
"Anxiety And Stress",0.0377358490566038,"positive"
"Bowel Preparation",0.0714285714285714,"positive"
"Birth Control",-0.0754716981132075,"negative"
"Allergies",0.2,"positive"
"Depression",-0.0357142857142857,"negative"
"Constipation",-0.0289855072463768,"negative"
"Diabetes, Type 2",-0.3,"negative"
"Anxiety And Stress",0,"neutral"
"Weight Loss",0.142857142857143,"positive"
"Opiate Dependence",0.217391304347826,"positive"
"Insomnia",0.225806451612903,"positive"
"Pain",0.166666666666667,"positive"
"Obesity",0.12962962962963,"positive"
"Birth Control",0.180327868852459,"positive"
"Chronic Pain",0.0882352941176471,"positive"
"Acne",0.117647058823529,"positive"
"Chronic Fatigue Syndrome",0.0144927536231884,"positive"
"Birth Control",-0.0652173913043478,"negative"
"NA",0.285714285714286,"positive"
"Constipation, Chronic",0.0833333333333333,"positive"
"High Cholesterol",-0.2,"negative"
"Erectile Dysfunction",0.0540540540540541,"positive"
"Cough And Nasal Congestion",-0.0909090909090909,"negative"
"Weight Loss",0.12,"positive"
"Allergic Rhinitis",0.0571428571428571,"positive"
"Overactive Bladder",0,"neutral"
"Depression",-0.25,"negative"
"Birth Control",0.0652173913043478,"positive"
"Smoking Cessation",-0.111111111111111,"negative"
"Migraine Prevention",0.0377358490566038,"positive"
"Fibromyalgia",0.0508474576271186,"positive"
"Rosacea",0.419354838709677,"positive"
"Dietary Supplementation",-0.222222222222222,"negative"
"Irritable Bowel Syndrome",-0.162790697674419,"negative"
"Birth Control",0.09375,"positive"
"Sinusitis",-0.142857142857143,"negative"
"Anxiety",0.046875,"positive"
"Birth Control",-0.0555555555555556,"negative"
"Birth Control",-0.0363636363636364,"negative"
"NA",0.0625,"positive"
"Fibromyalgia",0.0454545454545455,"positive"
"Allergic Rhinitis",-0.25,"negative"
"Birth Control",0.08,"positive"
"Pain",0.025,"positive"
"Birth Control",0,"neutral"
"Chronic Pain",-0.0434782608695652,"negative"
"Urinary Incontinence",0.0512820512820513,"positive"
"Birth Control",0.0416666666666667,"positive"
"Fibromyalgia",-0.0833333333333333,"negative"
"Inflammatory Conditions",-0.0714285714285714,"negative"
"Bladder Infection",-0.129032258064516,"negative"
"Birth Control",-0.0625,"negative"
"Emergency Contraception",0.1,"positive"
"Anxiety",-0.0588235294117647,"negative"
"Depression",-0.0645161290322581,"negative"
"Birth Control",0.0483870967741935,"positive"
"Insomnia",0,"neutral"
"Birth Control",0,"neutral"
"Obesity",0.0833333333333333,"positive"
"Gout, Acute",0,"neutral"
"Birth Control",-0.0405405405405405,"negative"
"Bipolar Disorder",0.0576923076923077,"positive"
"Ulcerative Colitis",0.0714285714285714,"positive"
"Weight Loss",0.06,"positive"
"Birth Control",0.0892857142857143,"positive"
"Birth Control",-0.116666666666667,"negative"
"Nausea/Vomiting Of Pregnancy",0.0833333333333333,"positive"
"Nausea/Vomiting",-0.037037037037037,"negative"
"Constipation",0,"neutral"
"Birth Control",0.15,"positive"
"Melasma",0.0833333333333333,"positive"
"Cough",0,"neutral"
"Depression",0.0144927536231884,"positive"
"Obesity",0.0754716981132075,"positive"
"Migraine",0,"neutral"
"Muscle Spasm",0,"neutral"
"Rheumatoid Arthritis",-0.132352941176471,"negative"
"Acne",0,"neutral"
"Smoking Cessation",-0.0384615384615385,"negative"
"Anxiety",0,"neutral"
"Cough",0,"neutral"
"Seizure Prevention",-0.125,"negative"
"Pain",0.0793650793650794,"positive"
"Bladder Infection",0.0754716981132075,"positive"
"Crohn's Disease",0,"neutral"
"Pseudotumor Cerebri",-0.0909090909090909,"negative"
"Benign Essential Tremor",0.0757575757575758,"positive"
"Rosacea",0,"neutral"
"Depression",-0.0576923076923077,"negative"
"Eczema",-0.0227272727272727,"negative"
"Fibromyalgia",-0.2,"negative"
"Depression",0,"neutral"
"Frozen Shoulder",-0.142857142857143,"negative"
"Diabetes, Type 2",0.0161290322580645,"positive"
"Birth Control",-0.116279069767442,"negative"
"Interstitial Cystitis",0.0769230769230769,"positive"
"Bowel Preparation",-0.0925925925925926,"negative"
"Neuropathic Pain",0,"neutral"
"Vaginal Yeast Infection",0.132352941176471,"positive"
"Generalized Anxiety Disorder",0.107692307692308,"positive"
"Anxiety",0.0465116279069767,"positive"
"Birth Control",-0.148648648648649,"negative"
"Birth Control",0.0408163265306122,"positive"
"Birth Control",-0.17741935483871,"negative"
"Post Traumatic Stress Disorder",-0.037037037037037,"negative"
"Insomnia",0.04,"positive"
"Back Pain",0.363636363636364,"positive"
"Adhd",0,"neutral"
"Adhd",-0.0869565217391304,"negative"
"Acne",0.144927536231884,"positive"
"Gerd",0.0158730158730159,"positive"
"Acne",-0.0447761194029851,"negative"
"Pain",-0.230769230769231,"negative"
"Anxiety",0,"neutral"
"Dry Eye Disease",0.0487804878048781,"positive"
"Migraine",0.357142857142857,"positive"
"Obesity",-0.117647058823529,"negative"
"Depression",-0.0952380952380952,"negative"
"Schizophrenia",0.125,"positive"
"Hot Flashes",-0.0217391304347826,"negative"
"Birth Control",0.0535714285714286,"positive"
"Birth Control",0.0196078431372549,"positive"
"Hypogonadism, Male",0,"neutral"
"Birth Control",-0.0465116279069767,"negative"
"Anxiety",1,"positive"
"Multiple Sclerosis",0,"neutral"
"Emergency Contraception",0.132352941176471,"positive"
"Generalized Anxiety Disorder",0.0571428571428571,"positive"
"Bowel Preparation",0.032258064516129,"positive"
"Birth Control",0,"neutral"
"Insomnia",0.173913043478261,"positive"
"Fibromyalgia",0.0625,"positive"
"Acne",0.03125,"positive"
"Birth Control",-0.125,"negative"
"Muscle Spasm",0.0384615384615385,"positive"
"Rheumatoid Arthritis",0.148148148148148,"positive"
"Bladder Infection",-0.172413793103448,"negative"
"Bowel Preparation",-0.117647058823529,"negative"
"Acne",-0.08,"negative"
"Kidney Infections",-0.111111111111111,"negative"
"Generalized Anxiety Disorder",0.0181818181818182,"positive"
"Tendonitis",-0.0769230769230769,"negative"
"Constipation",0.1875,"positive"
"Copd, Maintenance",0.0714285714285714,"positive"
"Birth Control",0.0135135135135135,"positive"
"Birth Control",-0.0338983050847458,"negative"
"High Blood Pressure",0.0714285714285714,"positive"
"Birth Control",0.0307692307692308,"positive"
"Skin Or Soft Tissue Infection",0.1,"positive"
"Depression",0,"neutral"
"Erectile Dysfunction",0.208333333333333,"positive"
"Smoking Cessation",-0.0476190476190476,"negative"
"Nausea/Vomiting",0.111111111111111,"positive"
"Migraine Prevention",-0.0746268656716418,"negative"
"Psoriatic Arthritis",-0.0425531914893617,"negative"
"Prevention Of Thromboembolism In Atrial Fibrillation",-0.0476190476190476,"negative"
"Hyperhidrosis",0.131578947368421,"positive"
"Constipation",0.03125,"positive"
"Endometriosis",-0.0697674418604651,"negative"
"Opiate Dependence",0.119047619047619,"positive"
"Hypogonadism, Male",0.0666666666666667,"positive"
"Psoriasis",0.125,"positive"
"Vaginal Yeast Infection",0.037037037037037,"positive"
"Cough",0.0545454545454545,"positive"
"Birth Control",-0.0819672131147541,"negative"
"Depression",0.0158730158730159,"positive"
"Pain",0.0357142857142857,"positive"
"Social Anxiety Disorder",0.0606060606060606,"positive"
"Birth Control",0.2,"positive"
"Depression",-0.0833333333333333,"negative"
"High Blood Pressure",0.0425531914893617,"positive"
"Asthma, Maintenance",-0.0476190476190476,"negative"
"Migraine",0.4,"positive"
"Bladder Infection",0.2,"positive"
"Birth Control",-0.111111111111111,"negative"
"Endometriosis",0,"neutral"
"High Blood Pressure",0.102941176470588,"positive"
"Depression",0,"neutral"
"Obesity",-0.0232558139534884,"negative"
"Generalized Anxiety Disorder",-0.0704225352112676,"negative"
"Surgical Prophylaxis",-0.0476190476190476,"negative"
"Insomnia",0.0677966101694915,"positive"
"Acne",0.162790697674419,"positive"
"Migraine",0,"neutral"
"Bacterial Vaginitis",-0.0307692307692308,"negative"
"Depression",0.05,"positive"
"Birth Control",-0.0298507462686567,"negative"
"Birth Control",-0.0967741935483871,"negative"
"Opiate Dependence",-0.285714285714286,"negative"
"Anxiety",0.193548387096774,"positive"
"Pain",-0.0333333333333333,"negative"
"Deep Vein Thrombosis Prophylaxis After Hip Replacement Surgery",0.235294117647059,"positive"
"Anxiety",0,"neutral"
"Fibromyalgia",-0.0677966101694915,"negative"
"Anxiety",-0.0192307692307692,"negative"
"Birth Control",0.0416666666666667,"positive"
"Arrhythmia",0.0526315789473684,"positive"
"Hereditary Angioedema",0.4,"positive"
"Birth Control",-0.0833333333333333,"negative"
"Nausea/Vomiting",-0.105263157894737,"negative"
"Supraventricular Tachycardia",-0.0769230769230769,"negative"
"Overactive Bladder",0.0185185185185185,"positive"
"Insomnia",-0.0769230769230769,"negative"
"Depression",-0.130434782608696,"negative"
"Depression",0.0588235294117647,"positive"
"Dry Eye Disease",0.0606060606060606,"positive"
"Birth Control",-0.125,"negative"
"Depression",0.0476190476190476,"positive"
"Depression",0.0740740740740741,"positive"
"Birth Control",-0.0277777777777778,"negative"
"Anxiety",0.0810810810810811,"positive"
"Schizoaffective Disorder",0,"neutral"
"Birth Control",0,"neutral"
"Hypogonadism, Male",-0.117647058823529,"negative"
"Prevention Of Osteoporosis",0,"neutral"
"Psoriasis",0.0434782608695652,"positive"
"Weight Loss",0.0285714285714286,"positive"
"Birth Control",0.0357142857142857,"positive"
"Birth Control",-0.0454545454545455,"negative"
"Asthma",-0.09375,"negative"
"Obesity",0.145454545454545,"positive"
"Diabetes, Type 2",0,"neutral"
"Erectile Dysfunction",0.0540540540540541,"positive"
"Diverticulitis",0,"neutral"
"Sinusitis",0,"neutral"
"Hepatitis C",0.0746268656716418,"positive"
"Bipolar Disorder",0.230769230769231,"positive"
"Depression",0.103658536585366,"positive"
"Birth Control",0.0714285714285714,"positive"
"Bipolar Disorder",0,"neutral"
"Bacterial Vaginitis",-0.0350877192982456,"negative"
"Smoking Cessation",0.0196078431372549,"positive"
"Fibromyalgia",-0.0833333333333333,"negative"
"Birth Control",-0.0178571428571429,"negative"
"Diabetes, Type 2",0.25,"positive"
"Hypogonadism, Male",0.0895522388059701,"positive"
"Major Depressive Disorder",-0.0645161290322581,"negative"
"Anxiety",0.0392156862745098,"positive"
"Insomnia",0.217391304347826,"positive"
"Me",-0.0434782608695652,"negative"
"Irritable Bowel Syndrome",0.0526315789473684,"positive"
"Adhd",-0.133333333333333,"negative"
"Birth Control",0.0384615384615385,"positive"
"Birth Control",0,"neutral"
"Rheumatoid Arthritis",-0.03125,"negative"
"Anxiety",-0.193548387096774,"negative"
"Vaginal Yeast Infection",-0.127659574468085,"negative"
"Pain",-0.125,"negative"
"Diarrhea",0.0192307692307692,"positive"
"NA",0,"neutral"
"Anemia",0,"neutral"
"Obesity",0,"neutral"
"Birth Control",-0.0476190476190476,"negative"
"Heart Attack",-0.0212765957446809,"negative"
"Birth Control",0,"neutral"
"Birth Control",0.0689655172413793,"positive"
"Cough",0.15625,"positive"
"Pain",0.0588235294117647,"positive"
"Birth Control",-0.0967741935483871,"negative"
"Anxiety",-0.192307692307692,"negative"
"Dietary Fiber Supplementation",0.153846153846154,"positive"
"Obesity",0.114285714285714,"positive"
"Smoking Cessation",0.0967741935483871,"positive"
"Acne",0,"neutral"
"Diabetes, Type 2",0.0714285714285714,"positive"
"Insomnia",0.0441176470588235,"positive"
"Deep Neck Infection",0,"neutral"
"Bipolar Disorder",-0.166666666666667,"negative"
"Birth Control",-0.171875,"negative"
"Migraine Prevention",0.106382978723404,"positive"
"Obesity",-0.0149253731343284,"negative"
"Birth Control",0.0666666666666667,"positive"
"Pain",-0.166666666666667,"negative"
"Multiple Sclerosis",0.0571428571428571,"positive"
"Vaginal Yeast Infection",0.0555555555555556,"positive"
"Major Depressive Disorder",-0.0227272727272727,"negative"
"Dyspareunia",0.113207547169811,"positive"
"Irritable Bowel Syndrome",-0.129032258064516,"negative"
"Acne",0.0847457627118644,"positive"
"Parkinson's Disease",0.176470588235294,"positive"
"Migraine Prevention",0.307692307692308,"positive"
"Anxiety",0.1,"positive"
"Anxiety",-0.0508474576271186,"negative"
"Deep Vein Thrombosis, Prophylaxis",-0.1,"negative"
"Birth Control",0.0454545454545455,"positive"
"Generalized Anxiety Disorder",-0.107692307692308,"negative"
"Birth Control",-0.09375,"negative"
"Diabetes, Type 2",-0.0571428571428571,"negative"
"Hyperprolactinemia",0.04,"positive"
"Bipolar Disorder",0.0454545454545455,"positive"
"Panic Disorder",-0.4,"negative"
"Birth Control",-0.140845070422535,"negative"
"Major Depressive Disorder",-0.0151515151515152,"negative"
"Birth Control",0.269230769230769,"positive"
"Fibromyalgia",0.140350877192982,"positive"
"Depression",-0.024390243902439,"negative"
"Psoriatic Arthritis",-0.0147058823529412,"negative"
"Birth Control",0.0930232558139535,"positive"
"Gerd",0.0163934426229508,"positive"
"Bipolar Disorder",-0.133333333333333,"negative"
"Depression",0.15625,"positive"
"Non-Small Cell Lung Cancer",0,"neutral"
"Birth Control",0.0344827586206897,"positive"
"Birth Control",0.0140845070422535,"positive"
"Weight Loss",-0.333333333333333,"negative"
"Birth Control",0.116666666666667,"positive"
"Cancer",1,"positive"
"Acial Wrinkles",-0.0357142857142857,"negative"
"Emergency Contraception",0.142857142857143,"positive"
"Birth Control",0.0204081632653061,"positive"
"Depression",-0.0508474576271186,"negative"
"Pain",0,"neutral"
"Birth Control",0.0689655172413793,"positive"
"Acne",0,"neutral"
"Birth Control",0.123076923076923,"positive"
"Chlamydia Infection",0.0819672131147541,"positive"
"Narcolepsy",0.0289855072463768,"positive"
"Birth Control",0.0566037735849057,"positive"
"Adhd",0.0731707317073171,"positive"
"Muscle Spasm",0.0169491525423729,"positive"
"Copd, Maintenance",0.0588235294117647,"positive"
"Diabetes, Type 2",-0.136363636363636,"negative"
"Aplastic Anemia",0.113636363636364,"positive"
"Depression",0.0142857142857143,"positive"
"Anxiety",0.0166666666666667,"positive"
"Birth Control",0.2,"positive"
"Weight Loss",0.0307692307692308,"positive"
"Breast Cancer",-0.184210526315789,"negative"
"Chronic Pain",0,"neutral"
"Underactive Thyroid",0,"neutral"
"Bowel Preparation",0.0454545454545455,"positive"
"Bladder Infection",-0.0256410256410256,"negative"
"Emergency Contraception",0.130434782608696,"positive"
"Birth Control",-0.0816326530612245,"negative"
"Fibromyalgia",0.0952380952380952,"positive"
"Osteoarthritis",0.0666666666666667,"positive"
"Adhd",0,"neutral"
"Birth Control",0.166666666666667,"positive"
"Nausea/Vomiting",-0.0161290322580645,"negative"
"Birth Control",-0.0294117647058824,"negative"
"Generalized Anxiety Disorder",-0.234042553191489,"negative"
"Urinary Tract Infection",0.277777777777778,"positive"
"Hiv Infection",0.0588235294117647,"positive"
"Chronic Pain",0.3,"positive"
"Birth Control",0.173913043478261,"positive"
"Birth Control",-0.0684931506849315,"negative"
"Muscle Spasm",0.0869565217391304,"positive"
"Social Anxiety Disorder",0.112903225806452,"positive"
"Herpes Simplex, Suppression",1,"positive"
"Weight Loss",0.121212121212121,"positive"
"Plaque Psoriasis",0.115384615384615,"positive"
"Irritable Bowel Syndrome",-0.0434782608695652,"negative"
"Cough And Nasal Congestion",0,"neutral"
"Birth Control",-0.0350877192982456,"negative"
"Bipolar Disorder",0.161290322580645,"positive"
"Generalized Anxiety Disorder",0.0810810810810811,"positive"
"Obesity",0.0172413793103448,"positive"
"Birth Control",0.16,"positive"
"Birth Control",0,"neutral"
"Obesity",0.0384615384615385,"positive"
"Birth Control",-0.0869565217391304,"negative"
"Panic Disorder",-0.193548387096774,"negative"
"Birth Control",0.0735294117647059,"positive"
"Atrial Flutte",0.111111111111111,"positive"
"Helicobacter Pylori Infection",0.127272727272727,"positive"
"Panic Disorder",-0.05,"negative"
"Allergic Rhinitis",0.222222222222222,"positive"
"Acne",-0.0136986301369863,"negative"
"Weight Loss",0,"neutral"
"Acne",0.166666666666667,"positive"
"Bowel Preparation",0.111111111111111,"positive"
"Postmenopausal Symptoms",0.0208333333333333,"positive"
"High Blood Pressure",0.1,"positive"
"Rheumatoid Arthritis",0.166666666666667,"positive"
"Melasma",0.0757575757575758,"positive"
"Birth Control",0.025,"positive"
"Birth Control",-0.032258064516129,"negative"
"Depression",0.6,"positive"
"Chronic Pain",0.111111111111111,"positive"
"Inflammatory Conditions",-0.0810810810810811,"negative"
"Insomnia",0.2,"positive"
"Dental Abscess",-0.136986301369863,"negative"
"Urinary Tract Infection",0,"neutral"
"Birth Control",0.0526315789473684,"positive"
"Birth Control",0.0384615384615385,"positive"
"Insomnia",0.0454545454545455,"positive"
"Birth Control",0.0526315789473684,"positive"
"Keratoconjunctivitis Sicca",0.0422535211267606,"positive"
"Insomnia",0.1,"positive"
"Anxiety",-0.0192307692307692,"negative"
"Bladder Infection",0.0384615384615385,"positive"
"Bronchitis",0.0273972602739726,"positive"
"Vaginal Yeast Infection",0.0384615384615385,"positive"
"Adhd",0.0714285714285714,"positive"
"Migraine Prevention",-0.0317460317460317,"negative"
"Opiate Dependence",0.154929577464789,"positive"
"Birth Control",0.133333333333333,"positive"
"Fibromyalgia",-0.0714285714285714,"negative"
"Pain",0.0882352941176471,"positive"
"Abnormal Uterine Bleeding",-0.0217391304347826,"negative"
"Hashimoto's Disease",0.0857142857142857,"positive"
"Acial Wrinkles",-0.178571428571429,"negative"
"Renal Cell Carcinoma",0.135135135135135,"positive"
"Migraine",0,"neutral"
"Pain",0.0363636363636364,"positive"
"Birth Control",-0.0285714285714286,"negative"
"Insomnia",0.0344827586206897,"positive"
"Birth Control",0.0454545454545455,"positive"
"Bacterial Infection",0.0666666666666667,"positive"
"Birth Control",0.121212121212121,"positive"
"Ulcerative Colitis",-0.087719298245614,"negative"
"Insomnia",-0.243243243243243,"negative"
"Major Depressive Disorder",-0.0196078431372549,"negative"
"Insomnia",0.5,"positive"
"Alopecia",0.0540540540540541,"positive"
"Psoriasis",0.260869565217391,"positive"
"Hepatitis C",0,"neutral"
"Birth Control",0.125,"positive"
"Birth Control",-0.0303030303030303,"negative"
"Migraine",0,"neutral"
"Obesity",0.178571428571429,"positive"
"Seizure Prevention",0.2,"positive"
"Hepatitis C",-0.142857142857143,"negative"
"Restless Legs Syndrome",0.037037037037037,"positive"
"Birth Control",0.125,"positive"
"Bacterial Infection",0.0769230769230769,"positive"
"Vaginal Yeast Infection",-0.166666666666667,"negative"
"Acne",0.166666666666667,"positive"
"Birth Control",0.0615384615384615,"positive"
"Rheumatoid Arthritis",0.111111111111111,"positive"
"Plaque Psoriasis",0.4,"positive"
"Birth Control",-0.0769230769230769,"negative"
"Inflammatory Conditions",-0.0303030303030303,"negative"
"Nausea/Vomiting",0.115384615384615,"positive"
"Constipation",0.0256410256410256,"positive"
